,file_name,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,duration,emotion
14562,./data/anger/DE-wav/15b03Wa.wav,50.185,-0.926,-1.229,-1.032,-1.496,-0.593,-0.628,-0.309,-0.173,0.266,0.238,0.382,0.219,3.363,anger
14564,./data/anger/DE-wav/03a02Wb.wav,48.05,-0.001,-0.07,-1.293,-1.585,-0.294,-0.387,-0.244,0.087,0.241,0.256,0.174,0.282,2.124,anger
14578,./data/anger/DE-wav/14a04Wc.wav,44.127,-1.521,-1.14,-0.823,-0.577,0.001,0.949,1.228,0.535,-0.131,-0.453,0.376,-0.009,2.51,anger
14579,./data/anger/DE-wav/09b02Wc.wav,52.3,0.104,-0.55,-1.63,-1.232,-0.674,-0.742,-0.615,-0.215,0.198,0.11,0.688,0.54,2.724,anger
14588,./data/anger/DE-wav/03b09Wa.wav,47.891,0.982,-0.416,-1.7,-1.402,-0.526,-0.51,-0.333,-0.28,-0.099,-0.066,0.021,0.33,2.894,anger
14597,./data/anger/DE-wav/16b03Wb.wav,44.775,-3.547,-1.505,-1.468,-1.084,-0.241,0.398,1.179,0.93,-0.07,-0.819,0.16,0.226,3.925,anger
14598,./data/anger/DE-wav/10a04Wb.wav,48.72,-1.567,-0.455,-0.072,-0.918,-0.045,-0.237,0.118,0.301,0.665,0.271,0.127,0.217,1.811,anger
14633,./data/anger/DE-wav/11b01Wd.wav,46.709,0.393,-0.187,-1.275,-0.728,-0.744,0.136,-0.059,0.132,0.657,0.664,0.607,0.236,2.815,anger
14637,./data/anger/DE-wav/09a02Wb.wav,45.617,-0.563,-0.836,-2.406,-1.144,-0.483,-0.76,-0.258,0.658,1.07,0.373,0.139,-0.013,1.655,anger
14641,./data/anger/DE-wav/14b03Wb.wav,46.617,-1.089,-1.368,-1.305,-1.228,-0.484,0.155,0.503,0.708,0.693,-0.318,-0.362,-0.009,3.886,anger
14652,./data/anger/DE-wav/13a07Wb.wav,45.905,-0.522,-1.374,-1.936,-1.45,-0.443,-0.202,0.175,0.841,0.919,0.18,-0.094,-0.162,2.258,anger
14669,./data/anger/DE-wav/03b02Wb.wav,48.83,0.373,-1.071,-1.065,-1.075,-0.394,-0.782,-0.429,-0.457,-0.294,-0.164,0.055,0.295,3.184,anger
14684,./data/anger/DE-wav/13a02Wa.wav,47.341,-1.455,-1.013,-2.073,-1.358,-0.111,-0.42,0.44,1.039,0.79,-0.071,-0.211,-0.01,1.669,anger
14690,./data/anger/DE-wav/09a05Wc.wav,44.865,-2.419,-1.357,-1.662,-0.439,-0.096,0.352,0.925,1.169,0.291,-0.308,-0.081,-0.19,3.185,anger
14702,./data/anger/DE-wav/14a01Wc.wav,47.545,-1.116,-0.88,-0.901,-0.711,-0.383,-0.022,0.171,0.374,0.845,0.412,0.165,0.074,1.972,anger
14705,./data/anger/DE-wav/03b10Wc.wav,48.082,-0.646,-1.402,-1.985,-1.55,-0.747,-0.436,-0.046,0.354,0.837,0.365,-0.134,-0.015,2.442,anger
14715,./data/anger/DE-wav/11b03Wa.wav,46.04,1.182,-0.692,-0.641,-1.275,-0.748,-0.505,-0.295,-0.54,-0.2,-0.194,-0.125,0.103,4.065,anger
14716,./data/anger/DE-wav/12b09Wc.wav,49.378,-0.047,-1.959,-2.174,-1.051,-0.094,-0.534,-0.452,-0.238,-0.107,0.156,0.372,0.829,2.438,anger
14729,./data/anger/DE-wav/12b10Wa.wav,46.906,-1.61,-2.23,-1.718,-0.417,-0.631,-0.076,-0.106,0.641,1.34,1.067,-0.001,-0.716,2.549,anger
14735,./data/anger/DE-wav/10b03Wb.wav,48.88,-0.832,-0.58,-0.864,-1.39,-0.235,-0.696,-0.499,-0.288,0.282,-0.116,0.021,0.073,4.486,anger
14736,./data/anger/DE-wav/15b02Wa.wav,49.859,-0.348,-0.935,-0.972,-1.122,-0.504,-0.67,-0.246,-0.318,0.094,0.188,0.437,0.393,2.765,anger
14764,./data/anger/DE-wav/14a01Wa.wav,47.908,-1.803,-1.094,-1.355,-0.839,-0.268,-0.355,0.312,0.627,1.018,0.062,-0.565,0.016,1.638,anger
14765,./data/anger/DE-wav/13b10Wa.wav,50.363,-0.957,-1.635,-1.766,-1.434,-0.193,0.417,0.906,1.302,0.635,-0.481,-0.018,0.335,2.201,anger
14766,./data/anger/DE-wav/11b09Wa.wav,48.273,0.5,-0.977,-1.718,-1.045,-0.805,-0.483,-0.113,-0.042,0.393,0.26,0.073,-0.151,3.81,anger
14770,./data/anger/DE-wav/09a04Wa.wav,45.367,-1.694,-0.324,-1.827,-1.014,-0.458,-0.42,0.106,1.018,0.911,0.261,0.028,-0.143,1.837,anger
14810,./data/anger/DE-wav/11b03Wb.wav,47.446,-0.168,-1.127,-0.954,-1.066,-0.533,-0.48,-0.026,0.036,0.636,0.496,0.213,-0.209,5.214,anger
14811,./data/anger/DE-wav/14b02Wb.wav,49.216,-0.932,-1.351,-0.913,-0.98,-0.554,-0.07,0.074,0.267,0.624,0.114,-0.038,0.057,2.748,anger
14818,./data/anger/DE-wav/15b10Wa.wav,48.225,-0.737,-1.123,-2.387,-1.442,-0.817,-0.418,-0.343,-0.075,0.472,0.677,0.747,0.276,2.634,anger
14822,./data/anger/DE-wav/14a02Wa.wav,46.407,-0.796,-1.071,-1.538,-1.37,-0.509,0.013,0.365,0.631,0.907,-0.076,-0.623,0.025,2.013,anger
14835,./data/anger/DE-wav/03a05Wb.wav,47.386,-1.488,-1.233,-1.502,-1.063,-0.27,-0.538,-0.082,0.532,1.06,0.536,0.138,-0.169,2.962,anger
14846,./data/anger/DE-wav/11a04Wc.wav,47.278,-1.487,-0.95,-0.741,-0.624,-0.755,-0.38,0.208,0.302,0.813,0.57,0.044,-0.06,2.679,anger
14870,./data/anger/DE-wav/11b10Wa.wav,47.379,0.146,-0.859,-1.396,-1.368,-0.82,-0.211,-0.225,-0.321,0.307,0.677,0.648,0.305,2.886,anger
14885,./data/anger/DE-wav/14b01Wc.wav,48.491,-0.305,-1.214,-1.772,-0.999,-0.608,0.176,0.287,0.464,0.8,0.234,-0.181,0.03,2.958,anger
14886,./data/anger/DE-wav/10a07Wb.wav,46.289,-0.269,0.336,-0.066,-0.793,-0.389,-0.149,-0.518,-0.098,0.062,-0.057,0.089,0.223,1.974,anger
14907,./data/anger/DE-wav/03b10Wb.wav,47.987,0.108,-1.164,-2.146,-1.669,-0.747,-0.631,-0.425,-0.056,0.616,0.469,0.438,0.099,2.166,anger
14914,./data/anger/DE-wav/13b10Wc.wav,47.761,-1.993,-2.213,-1.849,-1.063,0.127,0.92,1.031,0.587,0.108,-0.302,-0.191,0.092,2.683,anger
14935,./data/anger/DE-wav/10b09Wb.wav,47.351,-0.324,-0.289,-1.409,-1.124,-0.03,-0.227,-0.442,-0.002,0.22,0.07,0.169,0.297,3.214,anger
14936,./data/anger/DE-wav/13b01Wa.wav,49.725,-0.248,-1.03,-2.023,-0.745,0.122,0.258,0.67,1.374,1.004,0.057,0.018,-0.277,2.252,anger
14952,./data/anger/DE-wav/08b03Wd.wav,43.941,-0.459,-0.956,-1.11,-1.111,-0.511,0.148,0.227,0.63,0.694,0.184,0.034,-0.004,4.081,anger
15002,./data/anger/DE-wav/08a01Wa.wav,44.911,-1.83,-1.072,-1.44,-0.682,-0.423,0.1,0.727,1.388,0.999,-0.281,-0.437,-0.226,1.613,anger
15024,./data/anger/DE-wav/13b09Wa.wav,48.266,-1.846,-1.764,-1.841,-1.02,-0.118,0.463,1.135,1.201,0.149,-0.925,-0.229,0.446,2.4,anger
15048,./data/anger/DE-wav/16a04Wb.wav,42.521,-2.718,-1.067,-1.161,-0.725,-0.159,0.625,0.534,0.327,0.186,0.133,0.284,0.049,2.562,anger
15052,./data/anger/DE-wav/12b02Wb.wav,48.425,-1.452,-2.092,-0.993,-0.838,-0.345,-0.256,0.087,0.595,0.813,0.056,-0.619,-0.264,2.804,anger
15069,./data/anger/DE-wav/16a02Wb.wav,42.284,-2.361,-1.502,-1.875,-0.845,-0.156,0.377,0.657,-0.03,0.278,-0.011,0.072,-0.191,1.77,anger
15095,./data/anger/DE-wav/08a02Wc.wav,42.632,-1.093,-0.756,-1.363,-1.017,-0.144,0.462,0.799,0.832,0.138,-0.243,-0.107,0.013,1.867,anger
15116,./data/anger/DE-wav/16b01Wb.wav,46.358,-1.607,-1.266,-2.257,-0.536,-0.607,0.309,0.32,1.034,1.183,0.233,-0.626,-0.331,2.662,anger
15133,./data/anger/DE-wav/09b03Wb.wav,47.963,-2.506,-1.446,-1.99,-1.313,-0.533,-0.409,0.425,1.364,1.299,0.213,-0.445,-0.604,3.695,anger
15153,./data/anger/DE-wav/16a04Wc.wav,45.718,-3.097,-1.373,-1.509,-1.065,-0.722,0.138,0.391,0.429,0.935,0.055,-0.079,-0.046,1.944,anger
15170,./data/anger/DE-wav/09b02Wd.wav,47.844,-1.268,-1.16,-1.711,-1.161,-0.465,-0.346,-0.04,0.537,0.551,0.112,0.693,0.391,2.621,anger
15185,./data/anger/DE-wav/15b02Wc.wav,48.916,-1.104,-1.529,-1.269,-1.151,-0.571,-0.766,-0.348,-0.183,0.33,0.168,0.039,-0.006,2.623,anger
15206,./data/anger/DE-wav/08a05Wa.wav,48.906,-1.824,-1.457,-1.469,-0.681,-0.36,0.507,0.806,1.061,0.629,-0.224,-0.278,-0.199,2.929,anger
15220,./data/anger/DE-wav/09b10Wa.wav,48.366,-0.807,-1.285,-2.323,-1.029,-0.344,-0.008,0.381,1.035,0.4,-0.279,-0.146,-0.276,2.207,anger
15239,./data/anger/DE-wav/12b02Wd.wav,48.626,0.431,-1.401,-0.683,-0.768,-0.44,-0.378,-0.299,0.062,0.27,0.233,-0.025,0.07,2.65,anger
15242,./data/anger/DE-wav/16b09Wb.wav,43.603,-2.368,-1.741,-1.463,-0.536,-0.378,0.792,0.69,0.597,0.333,-0.388,-0.259,0.112,3.69,anger
15247,./data/anger/DE-wav/14b02Wd.wav,50.211,-0.489,-1.53,-1.538,-1.071,-0.504,-0.563,-0.55,-0.476,0.468,0.621,0.666,0.39,2.292,anger
15249,./data/anger/DE-wav/12a01Wc.wav,46.143,-1.11,-1.012,-0.988,-1.044,-0.269,-0.404,-0.311,-0.212,0.039,0.153,0.275,0.526,2.359,anger
15277,./data/anger/DE-wav/08b02Wd.wav,46.926,-0.888,-1.008,-0.622,-0.504,-0.106,0.39,0.497,0.928,0.835,0.237,0.002,-0.052,3.584,anger
15289,./data/anger/DE-wav/12b02Wa.wav,49.311,-0.221,-2.039,-1.095,-1.065,-0.297,-0.571,-0.496,-0.241,0.225,0.367,0.317,0.271,2.784,anger
15300,./data/anger/DE-wav/15a04Wb.wav,47.343,-1.627,-0.812,-1.566,-1.314,-0.583,-0.789,0.001,0.051,0.498,0.164,0.2,0.154,1.811,anger
15327,./data/anger/DE-wav/11b02Wb.wav,51.107,-0.508,-1.598,-0.744,-1.187,-0.635,-0.574,-0.316,-0.305,0.097,0.414,0.568,0.542,3.249,anger
15344,./data/anger/DE-wav/13a05Wa.wav,47.304,-0.134,-1.376,-1.679,-1.051,-0.17,-0.415,-0.162,0.667,1.183,0.996,0.423,-0.479,2.885,anger
15345,./data/anger/DE-wav/08a07Wc.wav,44.557,-1.163,-1.117,-1.375,-1.009,0.04,1.054,0.626,-0.163,-0.052,0.498,0.213,0.177,2.219,anger
15370,./data/anger/DE-wav/15a01Wa.wav,45.442,-2.47,-1.083,-1.355,-0.838,-0.476,-0.229,0.168,0.379,0.657,0.327,0.074,-0.362,1.831,anger
15396,./data/anger/DE-wav/14b09Wa.wav,47.8,-0.844,-1.418,-1.916,-1.03,-0.453,-0.061,0.196,0.664,1.392,0.627,-0.24,-0.408,3.545,anger
15412,./data/anger/DE-wav/03a05Wa.wav,47.385,-0.063,-0.561,-1.325,-0.835,-0.282,-0.458,-0.285,-0.249,-0.029,-0.074,0.22,0.332,3.441,anger
15413,./data/anger/DE-wav/15a04Wa.wav,47.2,-1.371,-0.827,-1.466,-1.203,-0.608,-0.661,-0.222,-0.015,0.611,0.602,0.583,0.065,1.945,anger
15430,./data/anger/DE-wav/08b10Wa.wav,45.396,0.571,-0.896,-1.59,-1.051,-0.48,0.435,0.331,0.609,0.443,-0.058,-0.228,0.221,3.135,anger
15459,./data/anger/DE-wav/10b10Wa.wav,43.917,0.216,-0.116,-0.967,-1.222,-0.158,-0.239,-0.355,-0.063,0.179,0.013,0.12,0.403,2.646,anger
15461,./data/anger/DE-wav/13a01Wb.wav,46.3,-1.182,-0.989,-1.133,-1.045,0.2,0.245,0.517,0.629,0.29,-0.086,0.161,0.036,2.362,anger
15469,./data/anger/DE-wav/16b10Wa.wav,43.825,-1.467,-1.54,-2.114,-1.224,-0.682,0.323,0.475,0.679,0.465,-0.124,0.033,0.182,2.414,anger
15482,./data/anger/DE-wav/16a01Wb.wav,45.684,-3.05,-1.055,-0.981,-0.668,-0.253,0.371,0.462,0.473,0.365,-0.303,-0.018,0.095,2.2,anger
15485,./data/anger/DE-wav/16a05Wc.wav,44.357,-2.639,-1.607,-1.308,-0.538,-0.436,0.653,0.773,0.694,-0.204,-0.412,0.174,0.318,3.801,anger
15509,./data/anger/DE-wav/16a07Wa.wav,41.739,-1.915,-1.303,-1.687,-0.722,-0.737,0.907,0.863,0.515,-0.173,-0.001,0.174,-0.022,2.382,anger
15529,./data/anger/DE-wav/14b10Wc.wav,47.705,0.447,-1.066,-1.888,-0.96,-0.316,0.213,0.382,0.814,1.372,0.366,-0.394,-0.207,2.655,anger
15583,./data/anger/DE-wav/12a04Wc.wav,50.185,-1.341,-1.968,-1.242,-1.089,-0.7,-0.601,-0.322,0.033,0.714,0.887,0.541,0.259,1.578,anger
15619,./data/anger/DE-wav/10a05Wb.wav,44.202,0.026,-0.024,-0.493,-0.819,0.398,-0.134,-0.254,-0.055,0.389,0.152,0.042,0.161,3.752,anger
15624,./data/anger/DE-wav/11a01Wc.wav,46.363,-1.449,-1.258,-1.031,-0.556,-0.806,-0.234,0.052,0.341,0.523,0.499,0.158,0.134,1.92,anger
15672,./data/anger/DE-wav/14a05Wa.wav,47.02,-1.097,-1.115,-1.032,-0.842,-0.203,0.372,0.501,0.677,0.667,-0.111,-0.058,0.181,4.007,anger
15687,./data/anger/DE-wav/10a01Wa.wav,49.656,-1.922,0.208,-0.247,-0.942,-0.147,-0.164,-0.282,-0.188,0.199,0.143,0.257,0.42,2.17,anger
15700,./data/anger/DE-wav/12a02Wc.wav,49.335,-0.159,-1.701,-1.251,-1.362,-0.639,-0.174,-0.58,-0.287,-0.142,0.088,0.239,0.751,1.466,anger
15744,./data/anger/DE-wav/03b01Wc.wav,48.591,0.848,0.011,-1.418,-0.845,-0.342,-0.059,-0.062,0.024,0.384,0.144,0.209,0.527,2.929,anger
15746,./data/anger/DE-wav/09a07Wb.wav,45.547,-2.727,-1.404,-1.977,-0.644,0.238,0.634,0.801,0.41,-0.101,-0.243,-0.048,0.239,1.988,anger
15748,./data/anger/DE-wav/03b01Wa.wav,48.957,0.349,-0.158,-1.99,-0.806,-0.11,-0.099,-0.063,0.029,0.363,0.275,0.494,0.705,2.18,anger
15761,./data/anger/DE-wav/03a02Wc.wav,46.442,-1.317,-0.69,-1.606,-1.598,-0.065,-0.531,0.016,0.753,0.781,0.483,-0.12,-0.036,1.498,anger
15781,./data/anger/DE-wav/14a04Wb.wav,49.155,-1.732,-1.791,-1.724,-1.456,-0.783,0.078,0.717,0.818,1.314,-0.197,-0.661,-0.072,1.737,anger
15787,./data/anger/DE-wav/11a07Wc.wav,45.93,-0.507,-1.182,-0.995,-0.898,-0.708,-0.183,0.25,0.74,1.089,0.425,-0.287,-0.284,2.238,anger
15788,./data/anger/DE-wav/09a07Wd.wav,47.601,-0.465,-0.748,-2.158,-1.313,-0.566,-0.536,-0.23,0.657,0.977,0.691,0.506,0.104,2.319,anger
15793,./data/anger/DE-wav/12a02Wa.wav,48.195,-0.061,-1.377,-0.99,-1.085,-0.471,-0.087,-0.179,0.104,0.485,0.474,0.266,0.091,1.508,anger
15814,./data/anger/DE-wav/15b09Wb.wav,46.598,0.024,-0.197,-1.871,-1.136,-0.746,-0.373,-0.365,-0.241,0.179,0.059,0.346,0.267,2.656,anger
15821,./data/anger/DE-wav/13a04Wc.wav,48.621,-1.947,-1.872,-1.575,-1.472,-0.445,-0.451,0.264,0.964,1.09,0.112,-0.493,-0.446,1.996,anger
15844,./data/anger/DE-wav/13b02Wa.wav,50.736,-2.182,-2.148,-1.336,-1.017,-0.156,-0.193,0.716,1.355,1.292,0.002,-0.576,-0.33,2.411,anger
15851,./data/anger/DE-wav/15a05Wa.wav,47.894,-1.314,-1.022,-1.664,-0.916,-0.373,-0.536,-0.139,0.144,0.744,0.536,0.468,0.024,3.098,anger
15854,./data/anger/DE-wav/13b03Wc.wav,48.303,-2.53,-1.778,-1.668,-1.061,-0.074,0.119,0.783,1.184,0.772,-0.575,-0.52,-0.06,3.612,anger
15858,./data/anger/DE-wav/10a02Wa.wav,48.752,-0.383,0.238,-0.19,-1.269,-0.146,-0.289,-0.465,-0.186,-0.22,-0.1,-0.007,0.217,2.103,anger
15863,./data/anger/DE-wav/15a02Wd.wav,47.064,-0.253,-0.194,-1.713,-1.234,-0.365,-0.606,-0.555,-0.217,0.094,0.461,0.599,0.246,1.821,anger
15874,./data/anger/DE-wav/10b02Wb.wav,47.54,-0.646,-0.723,-0.715,-1.183,-0.118,-0.444,-0.256,-0.082,0.206,0.236,0.167,0.376,2.868,anger
15917,./data/anger/DE-wav/12a05Wb.wav,48.03,-1.158,-1.639,-1.209,-0.879,-0.506,-0.262,-0.183,0.087,0.695,0.756,0.644,0.111,3.485,anger
15926,./data/anger/DE-wav/03a04Wc.wav,47.831,-1.476,-1.346,-1.282,-1.378,-0.502,-0.574,-0.175,0.419,0.966,0.624,0.133,-0.296,2.044,anger
15936,./data/anger/DE-wav/09a05Wb.wav,46.845,-1.944,-1.369,-1.532,-0.471,-0.14,0.233,0.598,0.994,0.62,-0.109,0.054,-0.031,3.4,anger
15946,./data/anger/DE-wav/15a02Wb.wav,45.909,-1.679,-0.937,-1.608,-1.272,-0.295,-0.223,0.059,0.685,0.631,-0.125,-0.313,-0.246,1.807,anger
15961,./data/anger/DE-wav/03a01Wa.wav,48.328,-1.24,-0.501,-1.385,-0.852,-0.373,-0.586,-0.363,-0.102,0.226,0.232,0.164,0.162,1.878,anger
15968,./data/anger/DE-wav/08b09Wc.wav,45.197,0.33,-0.669,-1.391,-0.742,-0.453,0.283,0.156,0.608,0.915,0.474,-0.015,-0.067,3.312,anger
15979,./data/anger/DE-wav/13a05Wc.wav,45.542,-2.49,-1.87,-1.079,-0.865,0.133,0.88,0.756,0.52,-0.278,-0.346,0.164,0.228,3.39,anger
15987,./data/anger/DE-wav/08a04Wc.wav,47.147,-2.796,-1.492,-1.284,-1.08,-0.368,0.848,0.828,0.516,-0.014,-0.383,-0.051,0.081,1.805,anger
16005,./data/anger/DE-wav/08a01Wc.wav,47.137,-3.264,-1.447,-1.385,-0.585,0.276,1.193,0.895,0.242,-0.349,0.163,0.035,-0.22,1.691,anger
16037,./data/anger/DE-wav/14a02Wc.wav,47.516,-1.51,-1.373,-1.516,-1.412,-0.678,0.137,0.348,0.515,0.888,0.516,0.045,-0.34,2.093,anger
16044,./data/anger/DE-wav/03b03Wc.wav,48.351,-0.806,-1.692,-1.76,-1.591,-0.638,-0.801,-0.433,-0.113,0.535,0.549,0.634,0.316,3.848,anger
16080,./data/anger/DE-wav/14b09Wc.wav,48.948,-1.591,-1.594,-2.161,-1.114,-0.358,0.599,0.903,0.819,0.419,-0.835,-0.432,0.382,2.771,anger
16111,./data/anger/DE-wav/14a07Wc.wav,46.521,-1.159,-1.224,-1.87,-0.878,-0.552,0.002,0.581,0.999,1.208,0.043,-0.606,-0.311,2.064,anger
16114,./data/anger/DE-wav/09b09Wa.wav,49.207,-0.476,-1.274,-2.659,-0.862,-0.544,-0.635,-0.319,0.738,1.118,0.988,0.511,-0.144,2.622,anger
16125,./data/anger/DE-wav/11a02Wc.wav,46.503,-1.505,-0.922,-1.019,-1.166,-0.755,-0.346,0.155,0.341,0.602,0.354,0.135,0.009,2.426,anger
16126,./data/anger/DE-wav/08b01Wa.wav,36.598,-0.034,-0.516,-1.219,-0.703,-0.377,0.395,0.096,0.527,0.666,0.297,0.015,0.076,3.308,anger
16128,./data/anger/DE-wav/16b02Wb.wav,44.882,-3.415,-1.849,-1.267,-0.895,-0.262,0.568,0.744,0.397,0.327,0.179,0.094,-0.258,3.184,anger
16147,./data/anger/DE-wav/15b01Wc.wav,49.793,0.902,0.379,-2.066,-0.91,-0.679,-0.073,-0.536,-0.226,0.033,-0.062,0.111,0.111,2.631,anger
16198,./data/anger/DE-wav/10a04Wa.wav,50.586,-0.321,0.017,0.179,-0.23,0.203,-0.069,-0.266,-0.075,0.155,0.122,0.16,0.248,2.853,anger
16200,./data/anger/DE-wav/16b10Wb.wav,46.933,-1.76,-1.446,-1.659,-0.885,-0.448,0.579,0.276,0.651,0.235,0.058,0.086,-0.087,2.522,anger
16203,./data/anger/DE-wav/14a05Wb.wav,47.253,-1.773,-1.385,-1.324,-0.767,-0.104,0.41,0.78,1.218,0.785,-0.347,-0.385,0.111,3.054,anger
24131,./data/boredom/DE-wav/10b10Lc.wav,54.051,4.029,0.854,-1.143,-0.676,0.808,-0.164,-0.657,-0.249,-0.138,-0.763,-0.202,-0.146,2.27,boredom
24136,./data/boredom/DE-wav/08a02La.wav,52.343,1.838,-0.63,-1.594,-1.094,-0.662,-0.422,-0.486,0.019,0.545,0.386,0.182,0.148,1.734,boredom
24142,./data/boredom/DE-wav/11b09Ld.wav,51.477,3.928,1.009,-0.68,-0.404,-0.203,-0.483,-0.253,-0.52,-0.364,-0.445,-0.551,-0.362,3.377,boredom
24145,./data/boredom/DE-wav/14a05Lb.wav,48.459,2.958,-0.294,-0.891,-0.257,0.06,-0.15,-0.406,-0.551,0.099,-0.047,0.038,0.034,3.519,boredom
24152,./data/boredom/DE-wav/14b03Lb.wav,49.914,2.429,-0.712,-1.156,-1.038,-0.106,-0.826,-0.636,-0.567,0.264,0.128,0.178,0.183,3.58,boredom
24178,./data/boredom/DE-wav/16a05La.wav,46.77,1.657,-0.261,-1.847,-0.612,-0.387,-0.615,-0.322,-0.064,0.399,0.403,0.442,0.054,4.051,boredom
24191,./data/boredom/DE-wav/14a07Ld.wav,52.044,3.069,0.204,-1.564,-0.812,-0.197,-0.406,-0.467,-0.449,0.651,0.483,0.318,-0.114,2.292,boredom
24207,./data/boredom/DE-wav/15b03Lc.wav,52.777,3.067,0.821,0.6,-0.635,0.285,-0.139,-0.309,-0.303,-0.101,-0.4,-0.213,-0.228,3.666,boredom
24214,./data/boredom/DE-wav/08a07La.wav,52.043,3.319,0.001,-1.224,-1.038,-0.704,-0.395,-0.22,0.135,0.928,0.099,-0.239,-0.297,2.524,boredom
24215,./data/boredom/DE-wav/13b01Ld.wav,50.627,2.72,-0.179,-1.648,-0.658,-0.507,0.009,-0.428,-0.067,0.241,0.33,0.058,0.304,2.674,boredom
24226,./data/boredom/DE-wav/16a02Lb.wav,50.288,0.43,-0.126,-1.744,-0.62,-0.841,-0.732,-0.085,0.205,0.671,0.247,0.078,0.09,2.081,boredom
24227,./data/boredom/DE-wav/08a04La.wav,54.241,1.562,-0.616,-1.52,-1.42,-0.901,-0.928,-0.709,-0.035,0.608,-0.123,-0.037,0.345,2.086,boredom
24248,./data/boredom/DE-wav/13a05Lc.wav,51.12,3.005,0.178,-1.117,-0.948,-0.598,-0.165,-0.366,-0.492,-0.011,0.252,0.499,0.561,3.353,boredom
24252,./data/boredom/DE-wav/13a07Lb.wav,52.01,3.36,0.334,-1.625,-1.174,-0.465,-0.542,-0.416,-0.395,0.337,-0.02,-0.106,0.043,2.264,boredom
24264,./data/boredom/DE-wav/13b03Lb.wav,53.09,3.987,0.782,-0.464,-0.847,-0.004,-0.486,-0.334,-0.423,0.055,-0.032,0.112,0.303,3.885,boredom
24281,./data/boredom/DE-wav/08a05Lc.wav,49.274,1.923,-0.492,-1.344,-0.633,-0.395,-0.137,-0.145,0.328,0.895,0.441,0.278,0.071,4.188,boredom
24295,./data/boredom/DE-wav/12a07La.wav,54.212,1.841,-0.871,-1.18,-0.941,-0.077,-0.498,-0.341,-0.31,-0.07,-0.169,0.007,0.252,2.351,boredom
24316,./data/boredom/DE-wav/11b10Ld.wav,50.309,4.036,1.707,-0.102,-0.405,0.251,-0.04,0.071,-0.303,-0.114,-0.384,-0.413,-0.273,3.324,boredom
24323,./data/boredom/DE-wav/03b09La.wav,51.4,3.2,0.541,-1.667,-0.455,-0.076,-0.272,-0.05,-0.377,-0.366,-0.51,-0.327,-0.219,3.113,boredom
24333,./data/boredom/DE-wav/09a04La.wav,54.03,2.328,0.452,-0.97,-0.991,-0.785,-0.584,-0.166,0.035,0.307,-0.421,-0.266,-0.065,1.528,boredom
24343,./data/boredom/DE-wav/09a02La.wav,51.182,2.218,0.267,-1.201,-0.755,-0.466,-0.281,-0.315,0.013,0.338,-0.096,-0.111,0.16,1.52,boredom
24365,./data/boredom/DE-wav/13a01Lb.wav,53.438,2.132,-0.07,-1.092,-0.764,-0.375,-0.585,-0.367,-0.329,0.025,0.053,0.109,0.289,2.005,boredom
24371,./data/boredom/DE-wav/15b09La.wav,50.42,3.141,1.646,-0.195,-0.474,0.178,-0.138,-0.222,-0.391,-0.074,-0.418,-0.183,-0.245,3.218,boredom
24373,./data/boredom/DE-wav/16b09Lb.wav,49.109,1.513,-0.351,-1.955,0.101,-1.177,-0.815,-0.398,-0.439,-0.048,-0.201,0.055,0.07,3.186,boredom
24394,./data/boredom/DE-wav/12b10Ld.wav,51.952,2.619,-0.514,-1.268,-0.933,-0.174,-0.328,-0.538,-0.519,-0.266,-0.382,-0.412,-0.106,3.02,boredom
24434,./data/boredom/DE-wav/16a01Lb.wav,47.956,0.186,-0.395,-2.372,0.035,-0.618,-0.676,-0.089,0.007,0.521,0.303,0.007,-0.078,2.034,boredom
24449,./data/boredom/DE-wav/16b10Lb.wav,50.466,1.961,-0.089,-2.074,-0.58,-0.979,-0.705,-0.674,-0.531,-0.131,-0.096,0.181,0.015,3.443,boredom
24456,./data/boredom/DE-wav/12a01Lb.wav,34.001,1.68,-0.323,-0.357,-0.538,0.367,-0.55,-0.26,-0.29,-0.161,-0.317,-0.229,-0.102,1.887,boredom
24461,./data/boredom/DE-wav/03a04Lc.wav,51.952,2.576,-0.388,-1.023,-0.269,0.038,-0.652,-0.182,-0.304,-0.326,-0.493,-0.296,-0.262,1.931,boredom
24463,./data/boredom/DE-wav/15a02La.wav,53.796,3.143,1.692,0.017,-0.548,0.432,0.017,-0.032,-0.338,-0.144,-0.437,-0.318,-0.341,1.697,boredom
24468,./data/boredom/DE-wav/13a04Lb.wav,52.806,2.249,-0.479,-1.248,-0.641,-0.593,-0.674,-0.232,-0.418,-0.127,-0.387,-0.017,0.448,2.247,boredom
24474,./data/boredom/DE-wav/09a05Lc.wav,50.557,2.792,0.539,-0.627,-0.164,-0.296,-0.181,-0.453,0.131,0.462,-0.083,-0.1,0.181,3.367,boredom
24483,./data/boredom/DE-wav/15b01Lb.wav,53.799,3.784,2.342,-0.793,-0.257,0.014,0.132,-0.013,-0.509,-0.041,-0.413,-0.285,-0.239,2.327,boredom
24488,./data/boredom/DE-wav/13b09La.wav,52.529,3.612,0.681,-1.119,-0.682,-0.4,-0.326,-0.686,-0.7,-0.126,0.153,0.124,0.358,2.59,boredom
